Timestamp,What faculty are you in?,What genres of music do you regularly listen to? (Please select all that apply),Do you listen to music when you study?,What music streaming service do you primarily use?,Who is your favourite artist/band right now?,"What is your favourite song right now? (Please follow an ""Artist - Song Title"" format)","What is your favourite album right now? (Please follow an ""Artist - Album"" format)",Have you attended any concerts / live music events in the past year?
5/12/2023 20:20:42,Science,"Hip-Hop / Rap, Pop, Indie, Country, EDM, Classical, Rock, Lofi",Sometimes,Apple Music,The fray,Taylor swift - Would’ve could’ve should’ve ,,Yes
5/12/2023 20:33:24,Engineering,"Hip-Hop / Rap, Pop, K-Pop, Rock, Lofi",Yes,Spotify,Newjeans,Le Sseraphim - unforgiven,Daft Punk - Random Access Memories,No
5/12/2023 20:39:27,Mathematics,"Indie, Rock",Sometimes,NetEase Music,Motorama,Palace - Ocean Deep,Leah Dou - ChunYou,Yes
5/12/2023 20:40:57,Mathematics,"R&B, Country, Rock, Jazz, Metal",No,Spotify,Dan Seals,Dan Seals - Everything that glitters,,Yes
5/12/2023 21:16:52,Environment,"EDM, J-Pop",Sometimes,SoundCloud,Stessie,,,No
5/12/2023 21:17:51,Mathematics,"Pop, Indie, K-Pop",Sometimes,Spotify,Hatchie,MUNA - One That Got Away,Hatchie - Giving the World Away,No
5/12/2023 21:26:41,Engineering,"Pop, Indie, Classical, Rock",Yes,Spotify,Louis Tomlinson,Animal Flag - St Cecilia’s,Twenty one pilots - Twenty one pilots,Yes
5/12/2023 21:39:16,Engineering,"Hip-Hop / Rap, Pop, Indie, Rock, Jazz, Shoegaze",Yes,Spotify,Sematary,Yves Tumor - Heaven Surrounds Us Like a Hood,Yves Tumor - praise a lord who chews but does not consume,Yes
5/12/2023 21:40:50,Engineering,"Pop, Indie, Classical, Rock, Lofi, Lemon demon, daisuke tanabe, etc",Yes,YouTube Music,Lenon demon,Lemon demon - the machine,Daisuke Tanabe - Cat Steps,No
5/12/2023 22:01:34,Science,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Sometimes,Spotify,"tyler, the creator","tyler, the creator - sweet / i thought you wanted to dance",kanye west - my beautiful dark twisted fantasy ,No
5/12/2023 22:01:57,Mathematics,"Hip-Hop / Rap, R&B, Pop, Classical, K-Pop, Lofi, cpop",Sometimes,Spotify,OZI,"bbno$, Rich Brian - Edamame",,No
5/12/2023 22:13:27,Mathematics,"Hip-Hop / Rap, R&B",Yes,Spotify,Kendrick Lamar,Kendrick Lamar - Alright,Kendrick Lamar - Good Kid M.a.a.d City,Yes
5/12/2023 22:20:44,Engineering,"R&B, EDM, Jazz, Lofi",Yes,YouTube Music,,,,Yes
5/12/2023 23:11:42,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Lofi",Sometimes,Spotify,Glass Animals,Two Door Cinema Club - What You Know,Taylor Swift - Midnights,No
5/12/2023 23:24:50,Mathematics,"Hip-Hop / Rap, Indie, Classical, Rock, Musical/Video Game Soundtracks",Sometimes,Spotify,Radiohead,The Voidz - Human Sadness,Nirvana - MTV Unplugged In New York,No
5/12/2023 23:25:20,Engineering,"R&B, Indie, Classical, K-Pop",Sometimes,Spotify,The Black Skirts,The Black Skirts - Hawaiian black sand,JANNABI  - LEGEND,No
5/12/2023 23:29:38,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Jazz",Sometimes,Spotify,Lana Del Rey,Lana Deal Rey - A&W,Lana Del Rey - Ultraviolence,No
5/12/2023 23:45:02,Environment,"Hip-Hop / Rap, R&B, Rock, Jazz, Lofi",Sometimes,Spotify,Chris Travis ,,Chris Travis - Pizza and Codeine,No
5/12/2023 23:46:12,Environment,"Hip-Hop / Rap, R&B, EDM, Lofi",Yes,Spotify,Pi'erre Bourne,which way - destroy lonely ,Pierre Bourne - The Life of Pi'erre 4,Yes
5/12/2023 23:47:49,Engineering,"Pop, EDM, Classical, Lofi",Yes,Spotify,Deadmau5 ,Weeknd - Sacrifice ,Deadmau5 - Where's the drop ,No
5/12/2023 23:47:49,Engineering,"Pop, Rock",Sometimes,YouTube Music,Rush,If You Could Read My Mind - Gordon Lightfoot ,Boston - Boston,No
5/12/2023 23:54:25,Engineering,"Hip-Hop / Rap, Pop, Country, EDM, Rock",No,Spotify,Morgan Wallen,,,No
5/12/2023 23:59:45,Engineering,"Hip-Hop / Rap, R&B, Pop, Classical, Rock, Jazz, Lofi",Sometimes,YouTube Music,Gorillaz,Bill Withers - Just the Two of Us,,Yes
5/13/2023 0:06:48,Mathematics,"Hip-Hop / Rap, Pop, Rock, Jazz, Lofi, I love genre bending bands with root in rock. So like Nu Metal/Rap, Alternative/Rap, Acousta-pop, blues rock. ",Yes,Spotify,The Beatles,The Beatles - Michelle,Ed Sheeran - Subtract,Yes
5/13/2023 0:31:24,Health,"Hip-Hop / Rap, Pop, EDM, Classical",Yes,Spotify,One Republic,"Nelly, Florida Georgia Line - Lil Bit",One Republic - Human,Yes
,,,,,,,,
5/13/2023 1:11:15,Environment,"Pop, Indie, K-Pop",Yes,Spotify,conan gray,lizzy mcalpine - ceilings,sza - sos,No
5/13/2023 3:22:31,Arts,"Indie, Country, Classical, Jazz, Lofi",Sometimes,Spotify,Low Roar,Low Roar - Don't Be So Serious,Low Roar - Low Roar,No
5/13/2023 6:59:51,Health,"Pop, Indie, Jazz",Yes,Spotify,Remi Wolf ,Remi Wolf - sexy villian,Joseph - good luck kid,Yes
5/13/2023 9:57:09,Science,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,Spotify,Labrinth,Neoni - I'M NOT SORRY,Taylor Swift - Lover,No
5/13/2023 9:57:33,Science,"Indie, Country, Classical, Rock, Jazz",No,Spotify,AR Rahman,Iris Dement - Our Town,Pink Floyd - Dark Side of the Moon,No
5/13/2023 10:50:17,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Lofi",Yes,Spotify,,,,Yes
5/13/2023 11:54:59,Science,K-Pop,Yes,Spotify,Stray Kids,ATEEZ - Halazia ,Stray Kids - No Easy,Yes
5/13/2023 12:05:56,Engineering,Classical,Yes,YouTube Music,Tchaikovsky,,,Yes
5/13/2023 12:37:20,Science,"Indie, Classical, Jazz",Yes,Spotify,Dayglow,ABBA - Mama Mia,,No
5/13/2023 14:03:21,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, J-Pop",Sometimes,Spotify,WOODZ,Lips - IVE,WOODZ - OO-LI,Yes
5/13/2023 15:32:10,Mathematics,"Pop, Indie, Rock, Jazz, Videogame music",Yes,Spotify,Dayglow,Dayglow - Run the World,,No
5/13/2023 16:45:19,Environment,"Hip-Hop / Rap, R&B, Rock, Afrobeats",Sometimes,Apple Music,Beyoncé ,Victoria Monet - Jaguar,Beyonce - Renaissance ,Yes
5/13/2023 20:21:12,Science,"Jazz, soft rock",No,Apple Music,Tom Misch,Brandon Coleman - Live for Today,Tom Misch - Geography,No
5/13/2023 21:31:00,Mathematics,light,Sometimes,Apple Music,,,,No
5/13/2023 21:34:12,Mathematics,"Pop, Indie, Classical, Rock",Sometimes,Spotify,Porcupine Tree,A Lot Like Birds - Orange Time Machines Care,Porcupine Tree - Deadwing,No
5/13/2023 21:40:58,Engineering,"Hip-Hop / Rap, Pop, Classical",Yes,Spotify,Kanye West,Lil Uzi Vert - XO Tour Lif3,Drake - IF YOURE READING THIS ITS TOO LATE,No
5/13/2023 22:35:01,Mathematics,"Hip-Hop / Rap, Pop, EDM, Jazz",Yes,Spotify,Kanye West,Kanye West - Saint Pablo ,Kanye West - Graduation ,No
5/14/2023 3:37:35,Engineering,"Pop, Indie, Folk",Sometimes,Spotify,Bon Iver,Bon Iver - 666,Bon Iver - 22 A Million,No
5/14/2023 16:15:08,Arts,"Pop, Indie, Country",No,Apple Music,Taylor Swift,Noah Kahan - Stick Season,Morgan Wallen - One thing at a time,Yes
5/14/2023 20:01:57,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, Rock, Lofi",Sometimes,Spotify,The Weeknd,xxxtentacion - SAD!,The Weeknd - Dawn FM,No
5/14/2023 21:25:19,Mathematics,"Pop, Indie, Classical",Yes,Spotify,Tame Impala,Foster the People - SHC,Tame Impala - Currents,No
5/14/2023 21:40:15,Mathematics,"Pop, Indie, K-Pop, Rock",Yes,Spotify,Seventeen,ENHYPEN - Given Taken,Waterparks - INTELLECTUAL PROPERTY,Yes
5/14/2023 22:38:00,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Lofi",Yes,Spotify,polo g,"noah gundersen, phoebe bridgers - atlantis",nf - hope,Yes
5/15/2023 1:14:08,Mathematics,"Pop, Classical, J pop",Sometimes,Spotify,Aimer,FIFTY FIFTY - Cupid,Aimer - Sleepless Nights,Yes
5/15/2023 4:18:52,Arts,Classical,Sometimes,YouTube Music,Richard Wagner ,Richard Wagner - Overture of Tannhäuser und der Sängerkrieg auf Wartburg,Richard Wagner - Die Meistersinger von Nürnberg (Opera),Yes
5/15/2023 10:58:10,Mathematics,"Pop, EDM",Sometimes,Spotify,Kaarija ,Kaarija - Cha Cha Cha,,No
5/15/2023 20:44:42,,"Hip-Hop / Rap, Pop, EDM, Rock",Yes,Spotify,Linkin Park,The Flaming Lips - The Yeah Yeah Yeah Song,Jay-Z & Linkin Park - Collision Course,No
5/15/2023 20:50:34,,,,,,,,
5/15/2023 22:55:40,Mathematics,"Rock, Jazz",Sometimes,Apple Music,The Beatles,,,No
5/16/2023 3:57:04,Mathematics,"Indie, Country, Rock, Jazz",Sometimes,Spotify,Radiohead,Mitski - I Bet on Losing Dogs,Talking Heads - Stop Making Sense (Live),No
5/16/2023 6:13:30,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, Rock, Jazz",Yes,Spotify,,,,Yes
5/16/2023 12:33:36,Mathematics,"Pop, EDM, Classical, K-Pop",Yes,Spotify,,,,No
5/17/2023 1:34:05,Mathematics,"EDM, Rock, Jazz, Lofi, metal",Yes,Spotify,Daft Punk,PolyphIa - Playing God,Daft Punk - Random Access Memories,Yes
